Name,CWE-ID,Description
Access of Uninitialized Pointer,CWE-824,The program accesses or uses a pointer that has not been initialized.
Algorithmic Complexity,CWE-407,"An algorithm in a product has an inefficient worst-case computational complexity that may be detrimental to system performance and can be triggered by an attacker, typically using crafted manipulations that ensure that the worst case is being reached."
Allocation of File Descriptors or Handles Without Limits or Throttling,CWE-774,"The software allocates file descriptors or handles on behalf of an actor without imposing any restrictions on how many descriptors can be allocated, in violation of the intended security policy for that actor."
Argument Injection or Modification,CWE-88,"The software does not sufficiently delimit the arguments being passed to a component in another control sphere, allowing alternate arguments to be provided, leading to potentially security-relevant changes."
Asymmetric Resource Consumption (Amplification),CWE-405,Software that does not appropriately monitor or control resource consumption can lead to adverse system performance.
Authentication Issues,CWE-287,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct."
Buffer Errors,CWE-119,"The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
Channel and Path Errors,CWE-417,Weaknesses in this category are related to improper handling of communication channels and access paths.
"Cleansing, Canonicalization, and Comparison Errors",CWE-171,Weaknesses in this category are related to improper handling of data within protection mechanisms that attempt to perform neutralization for untrusted data.
Code,CWE-17,"Weaknesses in this category are typically introduced during code development, including specification, design, and implementation."
Code Injection,CWE-94,"The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."
Command Injection,CWE-77,"The software constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component."
Configuration,CWE-16,Weaknesses in this category are typically introduced during the configuration of the software.
Containment Errors (Container Errors),CWE-216,"This tries to cover various problems in which improper data are included within a ""container."""
Credentials Management,CWE-255,Weaknesses in this category are related to the management of credentials.
Cross-Site Request Forgery (CSRF),CWE-352,"The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request."
Cross-Site Scripting (XSS),CWE-79,The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
Cryptographic Issues,CWE-310,Weaknesses in this category are related to the use of cryptography.
Data Handling,CWE-19,Weaknesses in this category are typically found in functionality that processes data.
Deserialization of Untrusted Data,CWE-502,The application deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
Divide By Zero,CWE-369,The product divides a value by zero.
